Concepto,Inmuebles,Viviendas,Maquinaria,Unidades de transporte,Equipo de computo,Equipo de oficina,Total
          Aguascalientes,82332.691,161499.37,131447.232,18568.754,5049.398,7818.423,406715.868
          Baja California,198021.783,490411.018,316227.429,44671.533,12147.522,18809.066,1080288.351
          Baja California Sur,51907.534,153566.67,82912.015,11712.478,3184.972,4931.57,308215.239
          Campeche,344068.433,69723.34,548854.031,77533.283,21083.612,32645.593,1093908.292
          Coahuila de Zaragoza,210923.942,452445.684,336777.681,47574.542,12936.937,20031.386,1080690.172
          Colima,38259.504,74462.781,61082.287,8628.725,2346.408,3633.147,188412.852
          Chiapas,135114.739,246593.31,215701.61,30470.859,8285.935,12829.836,648996.289
          Chihuahua,195772.464,593133.359,312718.473,44175.844,12012.729,18600.355,1176413.224
          Ciudad de México,1103541.68,4224692.598,1763425.672,249108.459,67740.02,104887.772,7513396.201
          Durango,76243.505,178705.75,121747.976,17198.599,4676.812,7241.515,405814.157
          Guanajuato,235091.877,606086.716,375444.174,53036.723,14422.267,22331.252,1306413.009
          Guerrero,93377.416,272045.569,149148.718,21069.336,5729.381,8871.299,550241.719
          Hidalgo,101624.982,269667.55,162302.036,22927.425,6234.651,9653.653,572410.297
          Jalisco,402973.555,1612770.022,643993.088,90973.001,24738.272,38304.422,2813752.36
          México,598190.28,2442758.521,956006.792,135049.287,36723.929,56862.858,4225591.667
          Michoacán de Ocampo,149047.48,380476.399,238027.478,33624.699,9143.559,14157.768,824477.383
          Morelos,82965.221,370738.723,132616.614,18733.945,5094.319,7887.977,618036.799
          Nayarit,43196.418,250834.741,69092.097,9760.222,2654.095,4109.567,379647.14
          Nuevo León,462930.601,1045898.213,739191.802,104421.147,28395.224,43966.799,2424803.786
          Oaxaca,96955.907,317295.187,154891.234,21880.546,5949.973,9212.862,606185.709
          Puebla,250671.255,585254.084,400277.821,56544.822,15376.224,23808.346,1331932.552
          Querétaro,160215.394,299714.756,255778.73,36132.311,9825.453,15213.605,776880.249
          Quintana Roo,104002.269,150446.052,166002.451,23450.16,6376.798,9873.752,460151.482
          San Luis Potosí,148388.521,317372.831,236928.019,33469.386,9101.324,14092.373,759352.454
          Sinaloa,164989.22,289508.117,263385.313,37206.847,10117.651,15666.041,780873.189
          Sonora,246124.163,352556.177,392846.593,55495.058,15090.761,23366.34,1085479.092
          Tabasco,274218.374,333306.875,437643.027,61823.179,16811.566,26030.812,1149833.833
          Tamaulipas,216365.605,368269.187,345392.756,48791.542,13267.875,20543.807,1012630.772
          Tlaxcala,33371.09,174420.093,53361.765,7538.093,2049.832,3173.934,273914.807
          Veracruz de Ignacio de la Llave,385804.643,750287.553,615946.629,87011.048,23660.899,36636.231,1899347.003
          Yucatán,100434.778,205259.967,160354.225,22652.27,6159.828,9537.798,504398.866
          Zacatecas,61877.675,109924.902,98781.251,13954.229,3794.571,5875.465,294208.093
