,USAF,YR--MODAHRMN,TEMP,MAX,MIN,celsius
8770,29980,201705010000,37.0,,,3
8771,29980,201705010100,37.0,,,3
8772,29980,201705010200,37.0,,,3
8773,29980,201705010300,37.0,,,3
8774,29980,201705010400,39.0,,,4
8775,29980,201705010500,41.0,,,5
8776,29980,201705010600,44.0,44.0,35.0,7
8777,29980,201705010700,45.0,,,7
8778,29980,201705010800,48.0,,,9
8779,29980,201705010900,51.0,,,11
8780,29980,201705011000,52.0,,,11
8781,29980,201705011100,51.0,,,11
8782,29980,201705011200,54.0,,,12
8783,29980,201705011300,49.0,,,9
8784,29980,201705011400,50.0,,,10
8785,29980,201705011500,52.0,,,11
8786,29980,201705011600,50.0,,,10
8787,29980,201705011700,52.0,,,11
8788,29980,201705011800,48.0,54.0,43.0,9
8789,29980,201705011900,48.0,,,9
8790,29980,201705012000,46.0,,,8
8791,29980,201705012100,44.0,,,7
8792,29980,201705012200,42.0,,,6
8793,29980,201705012300,39.0,,,4
8794,29980,201705020000,38.0,,,3
8795,29980,201705020100,36.0,,,2
8796,29980,201705020200,36.0,,,2
8797,29980,201705020300,35.0,,,2
8798,29980,201705020400,40.0,,,4
8799,29980,201705020500,46.0,,,8
8800,29980,201705020600,50.0,50.0,34.0,10
8801,29980,201705020700,54.0,,,12
8802,29980,201705020800,52.0,,,11
8803,29980,201705020900,53.0,,,12
8804,29980,201705021000,55.0,,,13
8805,29980,201705021100,55.0,,,13
8806,29980,201705021200,57.0,,,14
8807,29980,201705021300,60.0,,,16
8808,29980,201705021400,60.0,,,16
8809,29980,201705021500,59.0,,,15
8810,29980,201705021600,57.0,,,14
8811,29980,201705021700,56.0,,,13
8812,29980,201705021800,53.0,61.0,49.0,12
8813,29980,201705021900,50.0,,,10
8814,29980,201705022000,49.0,,,9
8815,29980,201705022100,46.0,,,8
8816,29980,201705022200,46.0,,,8
8817,29980,201705022300,44.0,,,7
8818,29980,201705030000,42.0,,,6
8819,29980,201705030100,40.0,,,4
8820,29980,201705030200,39.0,,,4
8821,29980,201705030300,39.0,,,4
8822,29980,201705030400,42.0,,,6
8823,29980,201705030500,44.0,,,7
8824,29980,201705030600,47.0,53.0,38.0,8
