,USAF,YR--MODAHRMN,TEMP,MAX,MIN,celsius
0,28450,201705010000,31.0,,,-1
1,28450,201705010020,30.0,,,-1
2,28450,201705010050,30.0,,,-1
3,28450,201705010100,31.0,,,-1
4,28450,201705010120,30.0,,,-1
5,28450,201705010150,30.0,,,-1
6,28450,201705010200,31.0,,,-1
7,28450,201705010220,30.0,,,-1
8,28450,201705010250,30.0,,,-1
9,28450,201705010300,31.0,,,-1
10,28450,201705010320,30.0,,,-1
11,28450,201705010350,30.0,,,-1
12,28450,201705010400,31.0,,,-1
13,28450,201705010420,30.0,,,-1
14,28450,201705010450,30.0,,,-1
15,28450,201705010500,31.0,,,-1
16,28450,201705010520,30.0,,,-1
17,28450,201705010550,30.0,,,-1
18,28450,201705010600,31.0,34.0,31.0,-1
19,28450,201705010620,30.0,,,-1
20,28450,201705010650,30.0,,,-1
21,28450,201705010700,30.0,,,-1
22,28450,201705010720,30.0,,,-1
23,28450,201705010750,32.0,,,0
24,28450,201705010800,32.0,,,0
25,28450,201705010820,32.0,,,0
26,28450,201705010850,34.0,,,1
27,28450,201705010900,34.0,,,1
28,28450,201705010920,34.0,,,1
29,28450,201705010950,36.0,,,2
30,28450,201705011000,37.0,,,3
31,28450,201705011020,36.0,,,2
32,28450,201705011050,37.0,,,3
33,28450,201705011100,37.0,,,3
34,28450,201705011120,37.0,,,3
35,28450,201705011150,39.0,,,4
36,28450,201705011200,40.0,,,4
37,28450,201705011220,39.0,,,4
38,28450,201705011250,39.0,,,4
39,28450,201705011300,41.0,,,5
40,28450,201705011320,39.0,,,4
41,28450,201705011350,41.0,,,5
42,28450,201705011400,41.0,,,5
43,28450,201705011420,41.0,,,5
44,28450,201705011450,41.0,,,5
45,28450,201705011500,42.0,,,6
46,28450,201705011520,43.0,,,6
47,28450,201705011550,43.0,,,6
48,28450,201705011600,44.0,,,7
49,28450,201705011620,43.0,,,6
50,28450,201705011650,43.0,,,6
51,28450,201705011700,43.0,,,6
52,28450,201705011720,43.0,,,6
53,28450,201705011750,43.0,,,6
54,28450,201705011800,42.0,44.0,30.0,6
55,28450,201705011820,41.0,,,5
56,28450,201705011850,41.0,,,5
57,28450,201705011900,40.0,,,4
58,28450,201705011920,39.0,,,4
59,28450,201705011950,39.0,,,4
60,28450,201705012000,38.0,,,3
61,28450,201705012020,39.0,,,4
62,28450,201705012050,37.0,,,3
63,28450,201705012100,38.0,,,3
64,28450,201705012120,37.0,,,3
65,28450,201705012150,37.0,,,3
66,28450,201705012200,37.0,,,3
67,28450,201705012220,37.0,,,3
68,28450,201705012250,36.0,,,2
69,28450,201705012300,36.0,,,2
70,28450,201705012320,36.0,,,2
71,28450,201705012350,36.0,,,2
72,28450,201705020000,36.0,,,2
73,28450,201705020020,36.0,,,2
74,28450,201705020050,36.0,,,2
75,28450,201705020100,36.0,,,2
76,28450,201705020120,36.0,,,2
77,28450,201705020150,36.0,,,2
78,28450,201705020200,36.0,,,2
79,28450,201705020220,36.0,,,2
80,28450,201705020250,37.0,,,3
81,28450,201705020300,37.0,,,3
82,28450,201705020320,37.0,,,3
