DATE_m,TAVG,temp_celsius,Month,ref_temp,Diff
195201,29.478,-1.401,01,-5.351,3.950
195202,24.800,-4.000,02,-5.941,1.941
195203,13.808,-10.107,03,-2.440,-7.666
195204,39.607,4.226,04,3.424,0.802
195205,44.667,7.037,05,10.180,-3.143
195206,56.500,13.611,06,14.668,-1.057
195207,61.214,16.230,07,17.281,-1.050
195208,57.484,14.158,08,15.604,-1.446
195209,47.231,8.462,09,10.596,-2.135
195210,35.893,2.163,10,5.488,-3.325
195211,27.714,-2.381,11,0.646,-3.027
195212,26.760,-2.911,12,-3.211,0.300
195301,22.286,-5.397,01,-5.351,-0.046
195302,16.407,-8.663,02,-5.941,-2.721
195303,31.130,-0.483,03,-2.440,1.957
195304,39.963,4.424,04,3.424,1.000
195305,48.677,9.265,05,10.180,-0.915
195306,62.667,17.037,06,14.668,2.369
195307,62.720,17.067,07,17.281,-0.214
195308,59.207,15.115,08,15.604,-0.489
195309,49.370,9.650,09,10.596,-0.946
195310,45.000,7.222,10,5.488,1.734
195311,34.536,1.409,11,0.646,0.763
195312,29.677,-1.290,12,-3.211,1.921
195401,19.269,-7.073,01,-5.351,-1.722
195402,11.250,-11.528,02,-5.941,-5.586
195403,29.714,-1.270,03,-2.440,1.171
195404,34.542,1.412,04,3.424,-2.012
195405,52.621,11.456,05,10.180,1.276
195406,57.038,13.910,06,14.668,-0.758
195407,62.464,16.925,07,17.281,-0.356
195408,59.276,15.153,08,15.604,-0.450
195409,52.346,11.303,09,10.596,0.707
195410,41.273,5.152,10,5.488,-0.336
195411,32.120,0.067,11,0.646,-0.579
195412,31.857,-0.079,12,-3.211,3.132
195501,22.148,-5.473,01,-5.351,-0.122
195502,17.125,-8.264,02,-5.941,-2.323
195503,21.667,-5.741,03,-2.440,-3.300
195504,30.130,-1.039,04,3.424,-4.462
195505,42.966,6.092,05,10.180,-4.088
195506,54.423,12.457,06,14.668,-2.211
195507,64.280,17.933,07,17.281,0.653
195508,64.259,17.922,08,15.604,2.318
195509,55.542,13.079,09,10.596,2.483
195510,42.556,5.864,10,5.488,0.376
195511,29.958,-1.134,11,0.646,-1.780
195512,12.036,-11.091,12,-3.211,-7.880
195601,17.360,-8.133,01,-5.351,-2.782
195602,5.810,-14.550,02,-5.941,-8.609
195603,24.103,-4.387,03,-2.440,-1.947
195604,31.321,-0.377,04,3.424,-3.801
195605,47.567,8.648,05,10.180,-1.532
195606,60.304,15.725,06,14.668,1.057
195607,59.750,15.417,07,17.281,-1.864
195608,54.750,12.639,08,15.604,-2.965
195609,47.214,8.452,09,10.596,-2.144
195610,40.032,4.462,10,5.488,-1.025
195611,23.783,-4.565,11,0.646,-5.211
195612,27.586,-2.452,12,-3.211,0.759
195701,27.607,-2.440,01,-5.351,2.910
195702,25.667,-3.519,02,-5.941,2.423
195703,18.880,-7.289,03,-2.440,-4.849
195704,34.950,1.639,04,3.424,-1.785
195705,46.895,8.275,05,10.180,-1.905
195706,54.333,12.407,06,14.668,-2.260
195707,64.100,17.833,07,17.281,0.553
195708,59.645,15.358,08,15.604,-0.245
195709,48.867,9.370,09,10.596,-1.226
195710,42.172,5.651,10,5.488,0.164
195711,33.483,0.824,11,0.646,0.178
195712,28.355,-2.025,12,-3.211,1.186
195801,17.032,-8.315,01,-5.351,-2.964
195802,14.964,-9.464,02,-5.941,-3.523
195803,18.355,-7.581,03,-2.440,-5.140
195804,33.833,1.019,04,3.424,-2.405
195805,46.806,8.226,05,10.180,-1.954
195806,56.100,13.389,06,14.668,-1.279
195807,59.613,15.341,07,17.281,-1.940
195808,58.129,14.516,08,15.604,-1.088
195809,50.733,10.407,09,10.596,-0.189
195810,43.000,6.111,10,5.488,0.623
195811,37.733,3.185,11,0.646,2.539
195812,20.097,-6.613,12,-3.211,-3.402
195901,22.733,-5.148,01,-5.351,0.203
195902,27.750,-2.361,02,-5.941,3.580
195903,32.581,0.323,03,-2.440,2.763
195904,38.967,3.870,04,3.424,0.447
195905,49.452,9.695,05,10.180,-0.485
195906,59.133,15.074,06,14.668,0.406
195907,64.097,17.832,07,17.281,0.551
195908,62.538,16.966,08,15.604,1.362
195909,47.862,8.812,09,10.596,-1.784
195910,40.581,4.767,10,5.488,-0.721
195911,34.533,1.407,11,0.646,0.762
195912,22.733,-5.148,12,-3.211,-1.937
196001,13.586,-10.230,01,-5.351,-4.879
196002,15.931,-8.927,02,-5.941,-2.986
196003,23.742,-4.588,03,-2.440,-2.147
196004,35.333,1.852,04,3.424,-1.572
196005,51.767,10.981,05,10.180,0.802
196006,61.300,16.278,06,14.668,1.610
196007,64.517,18.065,07,17.281,0.785
196008,59.194,15.108,08,15.604,-0.496
196009,50.200,10.111,09,10.596,-0.485
196010,37.903,3.280,10,5.488,-2.208
196011,30.767,-0.685,11,0.646,-1.331
196012,31.419,-0.323,12,-3.211,2.889
196101,25.433,-3.648,01,-5.351,1.703
196102,31.357,-0.357,02,-5.941,5.584
196103,32.645,0.358,03,-2.440,2.799
196104,36.733,2.630,04,3.424,-0.794
196105,49.806,9.892,05,10.180,-0.287
196106,62.600,17.000,06,14.668,2.332
196107,60.548,15.860,07,17.281,-1.420
196108,57.516,14.176,08,15.604,-1.428
196109,49.500,9.722,09,10.596,-0.874
196110,47.581,8.656,10,5.488,3.168
196111,35.100,1.722,11,0.646,1.076
196112,22.871,-5.072,12,-3.211,-1.860
196201,25.419,-3.656,01,-5.351,1.695
196202,22.643,-5.198,02,-5.941,0.743
196203,18.516,-7.491,03,-2.440,-5.051
196204,38.800,3.778,04,3.424,0.354
196205,47.452,8.584,05,10.180,-1.596
196206,53.667,12.037,06,14.668,-2.631
196207,58.323,14.624,07,17.281,-2.657
196208,55.452,13.029,08,15.604,-2.575
196209,48.867,9.370,09,10.596,-1.226
196210,44.226,6.792,10,5.488,1.304
196211,34.700,1.500,11,0.646,0.854
196212,19.742,-6.810,12,-3.211,-3.599
196301,14.194,-9.892,01,-5.351,-4.542
196302,12.500,-10.833,02,-5.941,-4.892
196303,16.290,-8.728,03,-2.440,-6.287
196304,37.067,2.815,04,3.424,-0.609
196305,55.774,13.208,05,10.180,3.028
196306,58.690,14.828,06,14.668,0.160
196307,62.387,16.882,07,17.281,-0.399
196308,61.419,16.344,08,15.604,0.740
196309,54.733,12.630,09,10.596,2.033
196310,42.839,6.022,10,5.488,0.534
196311,31.667,-0.185,11,0.646,-0.831
196312,24.548,-4.140,12,-3.211,-0.928
196401,,,01,-5.351,
196402,,,02,-5.941,
196403,,,03,-2.440,
196404,,,04,3.424,
196405,,,05,10.180,
196406,,,06,14.668,
196407,,,07,17.281,
196408,,,08,15.604,
196409,,,09,10.596,
196410,,,10,5.488,
196411,,,11,0.646,
196412,,,12,-3.211,
196501,,,01,-5.351,
196502,,,02,-5.941,
196503,,,03,-2.440,
196504,,,04,3.424,
196505,,,05,10.180,
196506,,,06,14.668,
196507,,,07,17.281,
196508,,,08,15.604,
196509,,,09,10.596,
196510,,,10,5.488,
196511,,,11,0.646,
196512,,,12,-3.211,
196601,,,01,-5.351,
196602,,,02,-5.941,
196603,,,03,-2.440,
196604,,,04,3.424,
196605,,,05,10.180,
196606,,,06,14.668,
