      X year month                   measure                X1        X2
1     1 2014    12          Max.TemperatureF                64        42
2     2 2014    12         Mean.TemperatureF                52        38
3     3 2014    12          Min.TemperatureF                39        33
4     4 2014    12            Max.Dew.PointF                46        40
5     5 2014    12            MeanDew.PointF                40        27
6     6 2014    12             Min.DewpointF                26        17
7     7 2014    12              Max.Humidity                74        92
8     8 2014    12             Mean.Humidity                63        72
9     9 2014    12              Min.Humidity                52        51
10   10 2014    12  Max.Sea.Level.PressureIn             30.45     30.71
11   11 2014    12 Mean.Sea.Level.PressureIn             30.13     30.59
12   12 2014    12  Min.Sea.Level.PressureIn             30.01      30.4
13   13 2014    12       Max.VisibilityMiles                10        10
14   14 2014    12      Mean.VisibilityMiles                10         8
15   15 2014    12       Min.VisibilityMiles                10         2
16   16 2014    12         Max.Wind.SpeedMPH                22        24
17   17 2014    12        Mean.Wind.SpeedMPH                13        15
18   18 2014    12         Max.Gust.SpeedMPH                29        29
19   19 2014    12           PrecipitationIn              0.01      0.10
20   20 2014    12                CloudCover                 6         7
21   21 2014    12                    Events              Rain Rain-Snow
22   22 2014    12            WindDirDegrees               268        62
23   23 2015     1          Max.TemperatureF                33        41
24   24 2015     1         Mean.TemperatureF                28        36
25   25 2015     1          Min.TemperatureF                22        31
26   26 2015     1            Max.Dew.PointF                16        17
27   27 2015     1            MeanDew.PointF                 8        15
28   28 2015     1             Min.DewpointF                 5        11
29   29 2015     1              Max.Humidity                53        53
30   30 2015     1             Mean.Humidity                43        45
31   31 2015     1              Min.Humidity                32        37
32   32 2015     1  Max.Sea.Level.PressureIn              30.1     30.45
33   33 2015     1 Mean.Sea.Level.PressureIn                30     30.13
34   34 2015     1  Min.Sea.Level.PressureIn             29.92     29.95
35   35 2015     1       Max.VisibilityMiles                10        10
36   36 2015     1      Mean.VisibilityMiles                10        10
37   37 2015     1       Min.VisibilityMiles                10        10
38   38 2015     1         Max.Wind.SpeedMPH                23        26
39   39 2015     1        Mean.Wind.SpeedMPH                14        13
40   40 2015     1         Max.Gust.SpeedMPH                29        32
41   41 2015     1           PrecipitationIn              0.00      0.00
42   42 2015     1                CloudCover                 3         3
43   43 2015     1                    Events                            
44   44 2015     1            WindDirDegrees               230       260
45   45 2015     2          Max.TemperatureF                30        31
46   46 2015     2         Mean.TemperatureF                21        21
47   47 2015     2          Min.TemperatureF                12        10
48   48 2015     2            Max.Dew.PointF                11        29
49   49 2015     2            MeanDew.PointF                 2        13
50   50 2015     2             Min.DewpointF                -6        -5
51   51 2015     2              Max.Humidity                67       100
52   52 2015     2             Mean.Humidity                48        67
53   53 2015     2              Min.Humidity                29        34
54   54 2015     2  Max.Sea.Level.PressureIn             30.16     30.12
55   55 2015     2 Mean.Sea.Level.PressureIn             30.12     29.69
56   56 2015     2  Min.Sea.Level.PressureIn             30.04     29.48
57   57 2015     2       Max.VisibilityMiles                10        10
58   58 2015     2      Mean.VisibilityMiles                10         2
59   59 2015     2       Min.VisibilityMiles                10         0
60   60 2015     2         Max.Wind.SpeedMPH                22        36
61   61 2015     2        Mean.Wind.SpeedMPH                12        18
62   62 2015     2         Max.Gust.SpeedMPH                29        45
63   63 2015     2           PrecipitationIn              0.00      0.78
64   64 2015     2                CloudCover                 4         7
65   65 2015     2                    Events                    Fog-Snow
66   66 2015     2            WindDirDegrees               289       360
67   67 2015     3          Max.TemperatureF                30        37
68   68 2015     3         Mean.TemperatureF                21        32
69   69 2015     3          Min.TemperatureF                12        26
70   70 2015     3            Max.Dew.PointF                27        27
71   71 2015     3            MeanDew.PointF                16        19
72   72 2015     3             Min.DewpointF                 2         7
73   73 2015     3              Max.Humidity                92        92
74   74 2015     3             Mean.Humidity                66        67
75   75 2015     3              Min.Humidity                40        41
76   76 2015     3  Max.Sea.Level.PressureIn             30.71     30.25
77   77 2015     3 Mean.Sea.Level.PressureIn             30.46     30.03
78   78 2015     3  Min.Sea.Level.PressureIn             30.12     29.93
79   79 2015     3       Max.VisibilityMiles                10        10
80   80 2015     3      Mean.VisibilityMiles                 6         9
81   81 2015     3       Min.VisibilityMiles                 1         1
82   82 2015     3         Max.Wind.SpeedMPH                20        30
83   83 2015     3        Mean.Wind.SpeedMPH                 6        14
84   84 2015     3         Max.Gust.SpeedMPH                23        41
85   85 2015     3           PrecipitationIn              0.17      0.01
86   86 2015     3                CloudCover                 7         6
87   87 2015     3                    Events              Snow Rain-Snow
88   88 2015     3            WindDirDegrees               206       280
89   89 2015     4          Max.TemperatureF                47        61
90   90 2015     4         Mean.TemperatureF                39        46
91   91 2015     4          Min.TemperatureF                30        30
92   92 2015     4            Max.Dew.PointF                16        37
93   93 2015     4            MeanDew.PointF                 7        20
94   94 2015     4             Min.DewpointF                 1         8
95   95 2015     4              Max.Humidity                40        61
96   96 2015     4             Mean.Humidity                29        44
97   97 2015     4              Min.Humidity                17        27
98   98 2015     4  Max.Sea.Level.PressureIn             30.17     30.25
99   99 2015     4 Mean.Sea.Level.PressureIn             29.99      30.1
100 100 2015     4  Min.Sea.Level.PressureIn             29.79     29.88
101 101 2015     4       Max.VisibilityMiles                10        10
102 102 2015     4      Mean.VisibilityMiles                10        10
103 103 2015     4       Min.VisibilityMiles                10        10
104 104 2015     4         Max.Wind.SpeedMPH                21        29
105 105 2015     4        Mean.Wind.SpeedMPH                10        13
106 106 2015     4         Max.Gust.SpeedMPH                28        37
107 107 2015     4           PrecipitationIn              0.00      0.00
108 108 2015     4                CloudCover                 1         5
109 109 2015     4                    Events                            
110 110 2015     4            WindDirDegrees               332       223
111 111 2015     5          Max.TemperatureF                49        50
112 112 2015     5         Mean.TemperatureF                44        45
113 113 2015     5          Min.TemperatureF                39        39
114 114 2015     5            Max.Dew.PointF                41        43
115 115 2015     5            MeanDew.PointF                39        40
116 116 2015     5             Min.DewpointF                37        37
117 117 2015     5              Max.Humidity                92        92
118 118 2015     5             Mean.Humidity                82        82
119 119 2015     5              Min.Humidity                71        71
120 120 2015     5  Max.Sea.Level.PressureIn             30.02     30.04
121 121 2015     5 Mean.Sea.Level.PressureIn                30        30
122 122 2015     5  Min.Sea.Level.PressureIn             29.97     29.96
123 123 2015     5       Max.VisibilityMiles                10        10
124 124 2015     5      Mean.VisibilityMiles                10        10
125 125 2015     5       Min.VisibilityMiles                10        10
126 126 2015     5         Max.Wind.SpeedMPH                17        13
127 127 2015     5        Mean.Wind.SpeedMPH                 8         7
128 128 2015     5         Max.Gust.SpeedMPH                22        16
129 129 2015     5           PrecipitationIn              0.00      0.00
130 130 2015     5                CloudCover                 6         4
131 131 2015     5                    Events                            
132 132 2015     5            WindDirDegrees                85       103
133 133 2015     6          Max.TemperatureF                49        49
134 134 2015     6         Mean.TemperatureF                48        48
135 135 2015     6          Min.TemperatureF                47        46
136 136 2015     6            Max.Dew.PointF                48        46
137 137 2015     6            MeanDew.PointF                47        45
138 138 2015     6             Min.DewpointF                46        44
139 139 2015     6              Max.Humidity               100       100
140 140 2015     6             Mean.Humidity                97        93
141 141 2015     6              Min.Humidity                93        86
142 142 2015     6  Max.Sea.Level.PressureIn             30.27     30.22
143 143 2015     6 Mean.Sea.Level.PressureIn             30.25     30.19
144 144 2015     6  Min.Sea.Level.PressureIn             30.23     30.17
145 145 2015     6       Max.VisibilityMiles                 6        10
146 146 2015     6      Mean.VisibilityMiles                 3         7
147 147 2015     6       Min.VisibilityMiles                 2         2
148 148 2015     6         Max.Wind.SpeedMPH                21        20
149 149 2015     6        Mean.Wind.SpeedMPH                14        11
150 150 2015     6         Max.Gust.SpeedMPH                26        26
151 151 2015     6           PrecipitationIn              0.38      0.74
152 152 2015     6                CloudCover                 8         8
153 153 2015     6                    Events              Rain      Rain
154 154 2015     6            WindDirDegrees                43        33
155 155 2015     7          Max.TemperatureF                82        80
156 156 2015     7         Mean.TemperatureF                72        72
157 157 2015     7          Min.TemperatureF                62        64
158 158 2015     7            Max.Dew.PointF                68        60
159 159 2015     7            MeanDew.PointF                64        56
160 160 2015     7             Min.DewpointF                60        54
161 161 2015     7              Max.Humidity               100        78
162 162 2015     7             Mean.Humidity                78        60
163 163 2015     7              Min.Humidity                55        42
164 164 2015     7  Max.Sea.Level.PressureIn             29.93     29.89
165 165 2015     7 Mean.Sea.Level.PressureIn             29.78     29.86
166 166 2015     7  Min.Sea.Level.PressureIn             29.68     29.81
167 167 2015     7       Max.VisibilityMiles                10        10
168 168 2015     7      Mean.VisibilityMiles                 8        10
169 169 2015     7       Min.VisibilityMiles                 0        10
170 170 2015     7         Max.Wind.SpeedMPH                22        16
171 171 2015     7        Mean.Wind.SpeedMPH                10         9
172 172 2015     7         Max.Gust.SpeedMPH                28        23
173 173 2015     7           PrecipitationIn              0.50      0.00
174 174 2015     7                CloudCover                 6         4
175 175 2015     7                    Events Rain-Thunderstorm          
176 176 2015     7            WindDirDegrees               164       265
177 177 2015     8          Max.TemperatureF                90        88
178 178 2015     8         Mean.TemperatureF                79        78
179 179 2015     8          Min.TemperatureF                68        68
180 180 2015     8            Max.Dew.PointF                61        63
181 181 2015     8            MeanDew.PointF                58        54
182 182 2015     8             Min.DewpointF                55        51
183 183 2015     8              Max.Humidity                66        73
184 184 2015     8             Mean.Humidity                50        52
185 185 2015     8              Min.Humidity                34        30
186 186 2015     8  Max.Sea.Level.PressureIn             29.82      29.9
187 187 2015     8 Mean.Sea.Level.PressureIn             29.75     29.86
188 188 2015     8  Min.Sea.Level.PressureIn              29.7     29.82
189 189 2015     8       Max.VisibilityMiles                10        10
190 190 2015     8      Mean.VisibilityMiles                10        10
191 191 2015     8       Min.VisibilityMiles                10        10
192 192 2015     8         Max.Wind.SpeedMPH                26        20
193 193 2015     8        Mean.Wind.SpeedMPH                10        11
194 194 2015     8         Max.Gust.SpeedMPH                35        26
195 195 2015     8           PrecipitationIn                 T      0.00
196 196 2015     8                CloudCover                 3         1
197 197 2015     8                    Events              Rain          
198 198 2015     8            WindDirDegrees               251       254
199 199 2015     9          Max.TemperatureF                79        91
200 200 2015     9         Mean.TemperatureF                74        79
201 201 2015     9          Min.TemperatureF                69        66
202 202 2015     9            Max.Dew.PointF                63        68
203 203 2015     9            MeanDew.PointF                62        63
204 204 2015     9             Min.DewpointF                59        59
205 205 2015     9              Max.Humidity                78        87
206 206 2015     9             Mean.Humidity                65        63
207 207 2015     9              Min.Humidity                52        38
208 208 2015     9  Max.Sea.Level.PressureIn             30.06     30.04
209 209 2015     9 Mean.Sea.Level.PressureIn             30.02     29.94
210 210 2015     9  Min.Sea.Level.PressureIn             29.96     29.85
211 211 2015     9       Max.VisibilityMiles                10        10
212 212 2015     9      Mean.VisibilityMiles                10        10
213 213 2015     9       Min.VisibilityMiles                10         9
214 214 2015     9         Max.Wind.SpeedMPH                15        15
215 215 2015     9        Mean.Wind.SpeedMPH                 9         9
216 216 2015     9         Max.Gust.SpeedMPH              <NA>        21
217 217 2015     9           PrecipitationIn              0.00      0.00
218 218 2015     9                CloudCover                 1         0
219 219 2015     9                    Events                            
220 220 2015     9            WindDirDegrees                54       231
221 221 2015    10          Max.TemperatureF                59        54
222 222 2015    10         Mean.TemperatureF                57        52
223 223 2015    10          Min.TemperatureF                54        50
224 224 2015    10            Max.Dew.PointF                50        45
225 225 2015    10            MeanDew.PointF                48        43
226 226 2015    10             Min.DewpointF                45        40
227 227 2015    10              Max.Humidity                77        80
228 228 2015    10             Mean.Humidity                72        73
229 229 2015    10              Min.Humidity                67        66
230 230 2015    10  Max.Sea.Level.PressureIn             30.24     30.36
231 231 2015    10 Mean.Sea.Level.PressureIn             30.13     30.28
232 232 2015    10  Min.Sea.Level.PressureIn             29.97     30.22
233 233 2015    10       Max.VisibilityMiles                10        10
234 234 2015    10      Mean.VisibilityMiles                10        10
235 235 2015    10       Min.VisibilityMiles                10         7
236 236 2015    10         Max.Wind.SpeedMPH                30        25
237 237 2015    10        Mean.Wind.SpeedMPH                17        20
238 238 2015    10         Max.Gust.SpeedMPH                38        36
239 239 2015    10           PrecipitationIn                 T      0.08
240 240 2015    10                CloudCover                 7         8
241 241 2015    10                    Events              Rain      Rain
242 242 2015    10            WindDirDegrees                22        28
243 243 2015    11          Max.TemperatureF                62        64
