                   X3                         X4            X5    X6    X7
1                  51                         43            42    45    38
2                  44                         37            34    42    30
3                  37                         30            26    38    21
4                  49                         24            37    45    36
5                  42                         21            25    40    20
6                  24                         13            12    36    -3
7                 100                         69            85   100    92
8                  79                         54            66    93    61
9                  57                         39            47    85    29
10               30.4                      30.56         30.68 30.42 30.69
11              30.07                      30.33         30.59 30.24 30.46
12              29.87                      30.09         30.45 30.16 30.24
13                 10                         10            10    10    10
14                  5                         10            10     4    10
15                  1                         10             5     0     5
16                 29                         25            22    22    25
17                 12                         12            10     8    15
18                 38                         33            26    25    32
19               0.44                       0.00          0.11  1.09  0.13
20                  8                          3             5     8     6
21               Rain                                     Rain  Rain  Rain
22                254                        292            61   313   350
23                 37                         52            50    18    26
24                 30                         44            34    17    15
25                 22                         35            17    15     4
26                 36                         50            39    11    12
27                 20                         41            13     5     3
28                  8                         34            -6    -5   -13
29                100                        100            65    80    88
30                 72                         95            47    59    58
31                 43                         89            29    37    28
32              30.68                      30.16          30.3 30.37 30.11
33              30.54                      29.81         29.93 30.22  29.9
34              30.24                      29.57         29.61    30 29.76
35                 10                         10            10    10    10
36                  6                          4            10     7     9
37                  1                          0            10     1     2
38                 22                         17            37    22    31
39                 10                          8            22     9    16
40                 25                         26            49    28    40
41               0.62                       0.57          0.00  0.02     T
42                  7                          8             2     6     3
43          Rain-Snow                   Fog-Rain                Snow  Snow
44                 81                        260           280   262   272
45                 22                         38            36    21    29
46                 14                         26            22    13    23
47                  6                         14             7     5    16
48                  7                         30            32     6    27
49                  1                         17            18    -1    17
50                 -3                          3            -7    -8     5
51                 73                         75            89    60    92
52                 56                         64            66    53    74
53                 39                         53            42    46    55
54              30.31                      30.32         30.12 30.17  30.1
55              30.12                      30.16         29.93  30.1 30.05
56              29.72                      29.94         29.82 30.04 30.01
57                 10                         10            10    10    10
58                  9                         10             6    10     7
59                  4                         10             0    10     1
60                 24                         20            30    21    20
61                 13                          9            15    12    11
62                 33                         26            40    29    26
63               0.00                       0.00          0.09     T  0.07
64                  1                          7             7     3     7
65               Snow                            Fog-Rain-Snow        Snow
66                265                        209           303   263   226
67                 33                         43            39    24    38
68                 27                         38            29    17    28
69                 20                         33            18     9    17
70                 31                         36            28    11    21
71                 14                         32            11    -1    12
72                  1                         29            -4    -8     6
73                 92                         92            76    62    67
74                 60                         75            56    48    48
75                 28                         57            35    34    29
76              30.41                      29.87         30.32 30.51 30.29
77              30.17                      29.75         30.07 30.42 30.11
78               29.8                      29.64         29.85 30.29 29.95
79                 10                         10            10    10    10
80                  6                         10             9    10    10
81                  1                          2             2    10    10
82                 24                         21            20    23    21
83                 10                         11            12    10    11
84                 32                         30            28    29    25
85               0.26                       0.02             T  0.00  0.00
86                  6                          8             8     2     3
87          Rain-Snow                       Rain          Snow            
88                213                        236           316   277   226
89                 59                         52            49    42    42
90                 52                         44            41    39    39
91                 45                         36            32    36    36
92                 50                         48            30    37    37
93                 45                         36            21    31    36
94                 39                         13            10    26    34
95                100                        100            76    92    92
96                 80                         66            49    74    84
97                 59                         31            21    55    76
98              29.86                      30.08         30.26  30.4  30.4
99              29.76                      29.63         30.13  30.3  30.3
100             29.65                       29.4         30.09 30.22 30.21
101                10                         10            10    10    10
102                 9                          6            10    10     9
103                 3                          0            10    10     7
104                24                         37            28    17    15
105                12                         16            15     9     8
106                31                         49            36    21    18
107              0.03                       0.39          0.00  0.00  0.03
108                 8                          6             4     7     8
109              Rain      Fog-Rain-Thunderstorm                      Rain
110               221                        269           243    70    29
111                67                         84            70    73    79
112                56                         67            62    63    66
113                45                         49            54    52    53
114                48                         48            59    52    45
115                42                         43            50    40    38
116                39                         37            41    31    30
117                76                         80            93    89    47
118                61                         52            66    59    34
119                45                         23            39    29    21
120             30.15                      30.19         30.22 30.31 30.21
121             30.06                      30.13         30.16 30.24 30.14
122             30.01                      30.06         30.07 30.16 30.05
123                10                         10            10    10    10
124                10                         10            10    10    10
125                10                         10             7    10    10
126                17                         30            21    20    22
127                 9                         13            10     9    11
128                21                         37            25    25    28
129              0.00                       0.00          0.02  0.00  0.00
130                 4                          2             5     3     1
131                                                       Rain            
132               176                        206           183   122   205
133                56                         58            59    67    67
134                52                         54            55    60    60
135                47                         49            50    52    53
136                48                         46            51    55    47
137                45                         45            48    51    40
138                43                         42            45    39    35
139                93                         86            93   100    60
140                82                         74            83    73    47
141                71                         61            72    46    34
142             30.31                      30.35         30.24 30.08 30.23
143             30.24                       30.3         30.09 29.94 30.16
144             30.19                      30.24         29.93 29.85 30.09
145                10                         10            10    10    10
146                10                         10            10    10    10
147                10                         10            10     2    10
148                14                         16            20    20    21
149                 7                          6             8     7    11
150              <NA>                         21            22    28    23
151              0.00                       0.00             T  0.09  0.00
152                 7                          5             5     5     3
153                                                             Rain      
154                90                        113           106    54    76
155                76                         72            83    80    84
156                70                         67            72    74    75
157                63                         62            61    68    65
158                56                         62            61    66    72
159                53                         58            59    63    68
160                49                         55            57    59    63
161                73                         87            90    84    93
162                56                         75            67    69    77
163                38                         63            43    54    61
164                30                      30.01         30.13 30.17 30.12
165             29.94                      29.99         30.05 30.13 30.05
166             29.87                      29.95         29.99 30.09 29.92
167                10                         10            10    10    10
168                10                         10             9    10    10
169                10                         10             7     8    10
170                15                         10            13    15    23
171                 9                          4             8     7    10
172                17                         12            22    18    29
173              0.00                          T          0.00  0.00  0.02
174                 2                          6             1     3     5
175                                                                   Rain
176                63                        126           252   165   160
177                90                         89            85    82    73
178                79                         78            75    74    69
179                68                         66            65    65    64
180                68                         72            65    55    61
181                64                         66            57    53    57
182                58                         62            51    50    54
183               100                         90            81    67    87
184                67                         68            58    51    70
185                34                         46            34    35    53
186             29.87                      29.88         29.89 29.93 29.97
187             29.81                      29.83         29.85  29.9 29.95
188             29.75                      29.76         29.79 29.86 29.92
189                10                         10            10    10    10
190                10                          8            10    10    10
191                 7                          0            10    10    10
192                23                         38            23    18    16
193                13                          9            11     9     8
194                30                         51            29    22    20
195              0.00                       0.49          0.00  0.00  0.00
196                 2                          5             3     3     2
197      Thunderstorm Fog-Rain-Hail-Thunderstorm                          
198               201                        222           260   278    37
199                82                         72            73    82    93
200                76                         67            66    72    80
201                70                         62            58    61    66
202                68                         69            58    63    65
203                66                         60            54    59    59
204                65                         55            49    57    51
205                84                         93            93    90    73
206                73                         78            70    69    55
207                62                         63            47    48    36
208             29.94                      30.27         30.31 30.22  30.1
