              X28      X29       X30   X31
1              52       41        30    30
2              46       36        26    25
3              40       30        22    20
4              42       26        10     8
5              35       20         4     5
6              27       10        -6     1
7              76       64        50    57
8              65       51        38    44
9              53       37        26    31
10          29.99    30.22     30.36 30.32
11          29.87    30.12     30.32 30.25
12          29.77       30     30.23 30.13
13             10       10        10    10
14             10       10        10    10
15             10       10        10    10
16             22       15        16    17
17             14        9        10     9
18             31       22        21    22
19           0.01     0.00      0.00  0.00
20              8        4         2     1
21           Rain                         
22            252      288       313   269
23             24       32        34    21
24             19       21        27    16
25             13       10        19    11
26              9       22        31     7
27              6       10        26     0
28              0       -2         7    -8
29             80       75        92    83
30             63       57        78    56
31             45       39        63    28
32          30.24    30.32     30.06 30.04
33          29.89    30.23     29.82 29.84
34          29.67    30.06     29.71 29.72
35             10       10        10    10
36              7       10         6     6
37              1        7         1     0
38             20       13        32    36
39             13        4        12    22
40             26       17        44    48
41           0.01        T      0.06  0.05
42              6        3         8     5
43           Snow               Snow  Snow
44            305      245       223   302
45             31     <NA>      <NA>  <NA>
46             22     <NA>      <NA>  <NA>
47             12     <NA>      <NA>  <NA>
48              4     <NA>      <NA>  <NA>
49              1     <NA>      <NA>  <NA>
50             -1     <NA>      <NA>  <NA>
51             58     <NA>      <NA>  <NA>
52             43     <NA>      <NA>  <NA>
53             27     <NA>      <NA>  <NA>
54          30.75     <NA>      <NA>  <NA>
55          30.69     <NA>      <NA>  <NA>
56          30.56     <NA>      <NA>  <NA>
57             10     <NA>      <NA>  <NA>
58             10     <NA>      <NA>  <NA>
59             10     <NA>      <NA>  <NA>
60             15     <NA>      <NA>  <NA>
61              9     <NA>      <NA>  <NA>
62             20     <NA>      <NA>  <NA>
63           0.00     <NA>      <NA>  <NA>
64              0     <NA>      <NA>  <NA>
65                    <NA>      <NA>  <NA>
66            273     <NA>      <NA>  <NA>
67             40       42        45    50
68             35       34        38    44
69             30       26        30    37
70             36       19        33    28
71             30       11        27    24
72             19        3        17    18
73             96       59        69    70
74             78       40        59    51
75             59       20        48    31
76          30.02    30.22     30.08 29.79
77          29.81    30.13     29.84 29.73
78          29.71    30.04     29.72 29.69
79             10       10        10    10
80              4       10         9    10
81              0       10         2    10
82             24       17        29    20
83             13        9        13    12
84             30       22        35    29
85           0.12     0.00         T  0.00
86              8        3         6     3
87  Fog-Rain-Snow          Rain-Snow      
88            355      272       214   279
89             64       54        55  <NA>
90             53       51        50  <NA>
91             42       48        44  <NA>
92             42       41        42  <NA>
93             35       38        40  <NA>
94             29       36        37  <NA>
95             76       77        89  <NA>
96             51       64        72  <NA>
97             26       50        55  <NA>
98          29.78     29.8     29.98  <NA>
99          29.68     29.7     29.88  <NA>
100         29.62    29.59     29.79  <NA>
101            10       10        10  <NA>
102            10       10        10  <NA>
103             4       10        10  <NA>
104            26       16        15  <NA>
105            14        9         9  <NA>
106            35       18        18  <NA>
107          0.07     0.00      0.00  <NA>
108             5        5         6  <NA>
109          Rain                     <NA>
110             8       91        89  <NA>
111            86       72        88    77
112            75       64        73    63
113            64       55        58    48
114            67       61        63    69
115            62       57        60    55
116            55       54        56    46
117            87      100        93   100
118            69       80        66    85
119            51       59        39    69
120         30.21    30.31     30.22 30.28
121         30.12    30.27     30.12 30.14
122         30.04    30.22     30.03 30.02
123            10       10        10    10
124            10        8        10     8
125            10        0        10     1
126            23       17        26    31
127            13        8        15    14
128            29       20        33    36
129             T     0.00      0.00  0.91
130             6        4         2     7
131          Rain      Fog            Rain
132           216       48       205    28
133            59       75        75  <NA>
134            56       64        68  <NA>
135            52       53        60  <NA>
136            59       61        62  <NA>
137            56       56        60  <NA>
138            51       50        57  <NA>
139           100       93        97  <NA>
140            94       80        81  <NA>
141            87       66        64  <NA>
142         30.07    29.94     30.01  <NA>
143          29.8    29.84     29.97  <NA>
144         29.69    29.78     29.94  <NA>
145             7       10        10  <NA>
146             3        9        10  <NA>
147             1        2        10  <NA>
148            29       15        14  <NA>
149            18        7         7  <NA>
150            36       21        17  <NA>
151          1.43        T      0.00  <NA>
152             8        7         4  <NA>
153          Rain                     <NA>
154            39      216       155  <NA>
155            86       92        91    89
156            78       82        83    81
157            70       71        74    73
158            70       69        73    71
159            69       67        70    59
160            66       63        67    52
161            97       90        93    93
162            80       66        73    61
163            63       41        52    29
164         29.99    29.96     29.89 29.81
165         29.96    29.92     29.82 29.78
166         29.93    29.87     29.75 29.75
167            10       10        10    10
168            10       10        10    10
169            10       10         7    10
170            16       16        25    23
171             8        7        14    11
172            18       20        33    31
173          0.00     0.00      0.02  0.00
174             3        3         5     2
175                             Rain      
176           181      190       223   263
177            75       82        88    90
178            70       73        79    81
179            64       63        69    71
180            62       58        65    66
181            56       55        61    63
182            53       53        58    60
183            73       78        78    79
184            63       59        58    60
185            53       39        37    40
186         30.17    30.19     30.09    30
187         30.13    30.14     30.03 29.93
188         30.08    30.08     29.98 29.86
189            10       10        10    10
190            10       10        10    10
191            10       10        10    10
192            14       16        17    22
193             8        7         9    11
194            18       22        26    32
195          0.00     0.00      0.00  0.00
196             2        3         5     2
197                                       
198           188      242       254   265
199            78       84        78  <NA>
200            67       75        68  <NA>
201            56       65        57  <NA>
202            66       70        73  <NA>
203            60       68        67  <NA>
204            53       64        51  <NA>
205            93      100       100  <NA>
206            75       79        89  <NA>
207            56       58        78  <NA>
208         30.34    30.14     29.96  <NA>
209         30.23    30.06     29.77  <NA>
210         30.15    29.98     29.63  <NA>
211            10       10        10  <NA>
212            10        7         6  <NA>
213            10        0         0  <NA>
214            16       21        32  <NA>
215             7        9        13  <NA>
216            20       25        38  <NA>
217          0.00     0.04      2.46  <NA>
218             4        7         8  <NA>
219               Fog-Rain  Fog-Rain  <NA>
220           185      186       182  <NA>
221            65       75        61    52
222            54       66        52    45
223            42       57        42    38
224            61       66        37    39
225            48       57        31    31
226            39       30        26    26
227           100      100        53    71
228            83       65        41    58
229            66       30        28    44
230         30.57    29.75     30.09 30.22
231         30.27    29.55     29.83 30.14
232         29.79    29.44     29.64 30.06
233            10       10        10    10
234             7        8        10    10
235             2        2        10    10
236            29       29        23    13
237            17       17        13     7
238            40       39        31    17
239          0.36     0.73      0.00  0.00
240             7        7         1     4
241          Rain     Rain                
242           114      206       289   224
243            60       44        38  <NA>
244            51       38        33  <NA>
245            41       32        28  <NA>
246            50       33        26  <NA>
247            43       23        23  <NA>
248            36       15        18  <NA>
249            93       79        75  <NA>
250            80       58        65  <NA>
251            67       36        54  <NA>
252          30.2    30.42     30.53  <NA>
253         30.16    30.26     30.46  <NA>
254         30.11    30.19     30.39  <NA>
255            10       10        10  <NA>
256             9       10        10  <NA>
257             4       10        10  <NA>
258            18       16        14  <NA>
259            10       10         9  <NA>
260            23       20        17  <NA>
261          0.21     0.00      0.00  <NA>
262             8        4         6  <NA>
263          Rain                     <NA>
264           358      326        65  <NA>
265          <NA>     <NA>      <NA>  <NA>
266          <NA>     <NA>      <NA>  <NA>
267          <NA>     <NA>      <NA>  <NA>
268          <NA>     <NA>      <NA>  <NA>
269          <NA>     <NA>      <NA>  <NA>
270          <NA>     <NA>      <NA>  <NA>
271          <NA>     <NA>      <NA>  <NA>
272          <NA>     <NA>      <NA>  <NA>
273          <NA>     <NA>      <NA>  <NA>
274          <NA>     <NA>      <NA>  <NA>
275          <NA>     <NA>      <NA>  <NA>
276          <NA>     <NA>      <NA>  <NA>
277          <NA>     <NA>      <NA>  <NA>
278          <NA>     <NA>      <NA>  <NA>
279          <NA>     <NA>      <NA>  <NA>
280          <NA>     <NA>      <NA>  <NA>
281          <NA>     <NA>      <NA>  <NA>
282          <NA>     <NA>      <NA>  <NA>
283          <NA>     <NA>      <NA>  <NA>
284          <NA>     <NA>      <NA>  <NA>
285          <NA>     <NA>      <NA>  <NA>
286          <NA>     <NA>      <NA>  <NA>
